name,sales,zipcode,address,store,first_sale,last_sale
HY-VEE FAST AND FRESH #2 / GRIMES,125,50111,1701 SOUTHEAST 37TH STREET,6317,2022-06-10T00:00:00Z,2022-09-16T00:00:00Z
MARTELLE STORE,125,52305,400 S. MILITARY ST,5907,2021-10-01T00:00:00Z,2021-11-19T00:00:00Z
CASEY'S GENERAL STORE # 2687/ HAWARDEN,124,51023,1001 AVE E,5376,2022-11-01T00:00:00Z,2023-03-07T00:00:00Z
KUM & GO #229 / SIOUX CITY,124,51103,1821 HAMILTON BLVD,4554,2021-10-12T00:00:00Z,2021-11-23T00:00:00Z
KUM & GO #524/ CORALVILLE,124,52241,2600 HOLIDAY RD,5405,2021-10-06T00:00:00Z,2021-11-30T00:00:00Z
CASEY'S GENERAL STORE #3899 / CEDAR RAPIDS,122,52405,235 EDGEWOOD RD NW,5945,2021-10-11T00:00:00Z,2021-11-29T00:00:00Z
FAREWAY STORES #048 / CLARINDA,122,51632,115 ESSIE DAVISON DR,4249,2021-10-01T00:00:00Z,2021-11-26T00:00:00Z
KUM & GO #246 / WINTERSET,122,50273,111 E JEFFERSON ST,4848,2021-10-12T00:00:00Z,2021-11-23T00:00:00Z
SUPER CONVENIENCE STORE,122,51501,2547 2ND AVE,5628,2021-10-06T00:00:00Z,2021-11-17T00:00:00Z
CASEY'S #3746,121,50111,1650 NE BEAVER BROOKE BLVD,5698,2018-12-18T00:00:00Z,2019-02-14T00:00:00Z
HY-VEE FAST AND FRESH #3 / URBANDALE,121,50323,12905 MEREDITH DRIVE,6341,2022-07-15T00:00:00Z,2022-09-30T00:00:00Z
KUM & GO #1056/ BEVINGTON,121,50033,101 E IA HWY 92,5358,2021-10-05T00:00:00Z,2021-11-23T00:00:00Z
GM FOOD MART,119,52761,"2881, HIGHWAY 61",5260,2021-10-05T00:00:00Z,2021-11-22T00:00:00Z
SWEETWATER SPIRITS - LIVERMORE,119,50558,405 4TH AVENUE,5841,2021-10-08T00:00:00Z,2021-11-26T00:00:00Z
BREW #54 / CEDAR RAPIDS,116,52404,3301 J STREET SOUTHWEST,010125,2023-02-06T00:00:00Z,2023-03-28T00:00:00Z
GUPPY'S ON THE GO / WALFORD,114,52351,200 HWY 151 E,5190,2021-10-04T00:00:00Z,2021-11-22T00:00:00Z
PRONTO MARKET,113,50641,201 S MAIN ST,4938,2021-10-05T00:00:00Z,2021-11-30T00:00:00Z
CASEY'S GENERAL STORE #3756 / CEDAR RAPIDS,111,52404,4560 16TH AVE SW,5687,2021-10-04T00:00:00Z,2021-11-22T00:00:00Z
DEPOT NORWAY,110,52318,117 E RAILROAD ST,5594,2021-10-18T00:00:00Z,2021-11-22T00:00:00Z
CASEY'S GENERAL STORE #2777 / FAIRFA,108,52228,"65, WILLIAMS BLVD",5064,2021-10-04T00:00:00Z,2021-11-29T00:00:00Z
KUM & GO # 532/ WEST DSM,107,NA,NA,5340,2016-12-01T00:00:00Z,2017-01-05T00:00:00Z
CASEY'S GENERAL STORE #3291,106,52218,5110 HWY 13 NORTH,5738,2021-10-01T00:00:00Z,2023-04-21T00:00:00Z
HY-VEE FAST AND FRESH #4 / URBANDALE,106,50323,14200 DOUGLAS AVENUE,010025,2022-08-02T00:00:00Z,2022-08-02T00:00:00Z
CASEY'S GENERAL STORE #3858 - IOWA CITY,104,52245,370 SCOTT COURT,5829,2021-10-12T00:00:00Z,2021-11-29T00:00:00Z
FAREWAY STORES #062 / WAUKON,104,52172,777  11TH AVE SW,4289,2021-10-01T00:00:00Z,2021-11-26T00:00:00Z
CASEY'S GENERAL STORE #2891 / FORT DODGE,100,50501,235 AVE O,5556,2021-10-01T00:00:00Z,2021-11-19T00:00:00Z
NORTHSIDE LIQUOR,100,NA,NA,5251,2019-04-04T00:00:00Z,2019-04-11T00:00:00Z
HY-VEE WINE & SPIRITS #1 / MLK,99,NA,NA,2627,2018-11-01T00:00:00Z,2018-11-09T00:00:00Z
